promo,price,marketing,month,sales,success
0,87,80,10,0.0,0
1,7,73,9,147.94031421758993,1
1,40,55,12,61.98651707049485,1
0,46,88,12,101.76816932067412,1
0,79,12,9,0.0,0
1,13,92,5,177.76134925906518,1
0,43,85,8,75.73729560287848,1
1,16,50,6,79.84553186464531,1
0,78,73,8,0.0,0
0,63,52,10,0.0,0
1,50,26,5,0.0,0
1,39,79,7,95.33168783634274,1
1,16,24,1,52.417184311578545,1
1,92,31,9,0.0,0
1,65,51,6,0.0,0
1,32,83,6,117.2208287809291,1
1,41,38,7,7.006259523025932,0
0,72,49,3,0.0,0
1,72,4,8,0.0,0
0,46,11,9,0.0,0
1,30,5,5,0.0,0
0,66,7,2,0.0,0
0,66,86,5,50.62611175329873,1
1,60,84,3,97.87541413804365,1
1,8,82,5,168.38308858449213,1
1,47,5,8,0.0,0
0,61,7,2,0.0,0
1,95,28,9,0.0,0
1,53,56,3,45.339685922983215,1
0,34,33,11,4.530370998187599,0
0,56,48,9,0.0,0
0,18,17,4,6.252159840976589,0
0,9,73,7,112.30366061950242,1
1,68,31,2,0.0,0
1,98,6,2,0.0,0
0,84,74,12,8.753625130444462,0
1,58,90,10,94.66636227199092,1
1,4,1,2,29.618556259026978,0
0,98,43,4,0.0,0
1,45,82,3,113.43933818540364,1
0,29,70,5,86.0998006489844,1
1,89,85,4,34.97944116603219,0
1,74,41,4,0.0,0
0,75,37,7,0.0,0
0,28,70,3,110.67076307895955,1
1,99,15,11,0.0,0
0,45,23,9,0.0,0
1,53,60,10,43.10979507940615,1
1,75,66,3,28.259272076475025,0
1,66,11,9,0.0,0
1,18,50,11,96.87364531066306,1
0,30,36,3,27.529027123245832,0
0,36,50,10,25.985090486077013,0
0,94,95,5,23.083666533924962,0
0,71,7,10,0.0,0
0,37,99,6,115.07729004026041,1
1,73,44,10,0.0,0
0,74,77,2,37.754240879675336,0
1,40,42,5,28.28876538403038,0
1,40,31,4,21.611348065953287,0
1,89,77,3,24.596488919148186,0
1,56,68,4,58.71983866232423,1
0,15,14,5,0.0,0
1,72,70,2,46.969506234379786,1
0,59,75,9,36.1830148366199,0
0,51,38,7,0.0,0
1,72,92,10,66.7898141928176,1
0,90,64,9,0.0,0
0,33,33,2,19.9112601090337,0
0,42,1,1,0.0,0
1,19,67,6,102.44093824337907,1
0,65,20,6,0.0,0
0,40,75,3,74.99055842474155,1
0,34,52,10,40.16679859696192,0
1,69,46,7,0.0,0
0,41,16,9,0.0,0
0,46,71,2,70.39291299207501,1
0,44,16,10,0.0,0
1,26,41,3,63.21543079381103,1
1,13,83,6,153.1687407674307,1
1,82,92,6,50.08418265460026,1
0,10,98,10,172.0269673805327,1
0,33,95,4,139.2430284603364,1
1,67,55,3,14.431510614467577,0
1,13,20,5,34.4127101749475,0
1,65,83,5,69.95294457609488,1
0,73,80,3,41.90018745895167,1
0,66,99,3,98.78222438367706,1
1,31,65,3,100.38280341344668,1
1,2,14,6,27.50425374325706,0
0,88,50,5,0.0,0
1,33,44,5,48.2419587948978,1
1,80,84,9,36.48961467134689,0
0,20,39,3,52.51128329823708,1
1,17,32,11,51.44546879230873,1
0,78,8,10,0.0,0
0,94,83,3,0.6764761117472808,0
1,86,75,4,24.655001949728877,0
1,75,4,3,0.0,0
0,25,43,4,46.49250977070214,1
1,91,47,5,0.0,0
0,67,46,2,0.0,0
1,18,91,1,174.20918743241032,1
0,13,15,6,0.0,0
1,87,30,9,0.0,0
1,28,18,4,2.025231155769312,0
1,76,24,11,0.0,0
1,14,90,5,172.50405855228448,1
0,28,94,11,143.15869194091428,1
1,29,4,3,0.0,0
0,28,63,7,61.07539054993843,1
1,67,23,10,0.0,0
1,91,19,1,0.0,0
0,91,29,12,0.0,0
1,74,19,5,0.0,0
1,21,49,6,68.48923554633976,1
0,96,99,8,4.50517513414629,0
0,54,58,8,0.0,0
0,55,72,1,57.35244453251237,1
0,70,49,11,0.0,0
0,77,1,8,0.0,0
1,95,8,12,0.0,0
1,58,26,6,0.0,0
0,61,24,8,0.0,0
1,74,84,6,40.22437670260248,0
1,26,84,11,146.8965735065217,1
0,31,85,10,112.47503960913433,1
1,62,63,11,32.291879455845574,0
1,7,55,7,104.5319862146543,1
1,32,64,10,91.85178208895799,1
1,72,40,5,0.0,0
1,97,67,6,0.0,0
0,52,79,10,58.399864395534145,1
1,40,76,1,110.51353161617186,1
1,44,61,9,55.139098914548285,1
0,68,5,1,0.0,0
1,54,72,7,56.286765992666616,1
0,3,36,6,57.25936906560575,1
0,54,74,6,44.893819751737205,1
0,40,53,6,24.4729626647885,0
1,70,88,6,63.92344358065843,1
0,87,33,5,0.0,0
0,96,93,6,0.0,0
0,61,84,7,35.49902572780189,0
1,36,33,10,25.257210242228382,0
1,44,48,7,24.42303961571692,0
0,18,53,8,51.367316484675,1
0,93,76,11,0.0,0
1,84,68,12,18.659371461849123,0
0,85,85,2,29.261869882179923,0
1,33,36,9,20.039692903404365,0
0,32,50,3,59.40440930156483,1
1,85,43,3,0.0,0
0,54,90,10,75.14897917338145,1
0,70,30,1,0.0,0
1,49,58,11,53.41252869811379,1
0,44,12,10,0.0,0
1,63,85,12,91.15619022284473,1
1,81,38,9,0.0,0
1,34,34,11,32.90717373253642,0
1,81,58,2,2.5642077412689614,0
1,25,49,11,76.97374555402796,1
0,40,84,2,110.19792493811256,1
0,91,53,4,0.0,0
0,95,51,2,0.0,0
1,92,10,5,0.0,0
0,32,2,9,0.0,0
0,84,39,4,0.0,0
0,93,99,10,27.278102252469157,0
0,97,91,8,0.0,0
0,3,62,8,105.9056538612216,1
0,74,63,12,13.832626535701992,0
1,99,39,6,0.0,0
1,76,17,5,0.0,0
1,24,0,12,0.0,0
0,76,33,7,0.0,0
1,11,31,8,60.22897155801644,1
0,48,19,4,0.0,0
1,62,25,3,0.0,0
1,46,2,3,0.0,0
1,70,60,3,22.242376324283534,0
0,24,92,3,152.0446695519833,1
0,61,69,9,22.43152031153865,0
1,64,44,1,8.055728207962254,0
0,63,42,8,0.0,0
0,29,30,12,17.32517344703664,0
0,31,14,10,0.0,0
0,26,59,5,81.05967149855255,1
0,46,56,1,44.831442285054536,1
0,59,0,11,0.0,0
1,36,41,1,47.38893522660404,1
1,41,27,9,0.0,0
1,29,17,9,0.0,0
0,22,70,3,108.5781135355338,1
1,66,52,9,0.0,0
0,81,63,3,0.0,0
0,29,71,3,103.45746203970467,1
0,86,98,10,33.306025497735504,0
0,57,80,12,62.02213856928491,1
1,17,62,4,118.18174057375238,1
0,37,87,12,120.40479642349948,1
1,1,47,11,117.52291560333259,1
0,4,98,10,181.09247731666898,1
1,34,76,2,127.84767824830135,1
0,45,65,4,48.940949402366215,1
0,79,90,9,25.192306776068065,0
1,14,51,12,102.08023237638999,1
1,84,72,10,15.645537705415752,0
0,24,28,6,5.967107705136745,0
1,14,96,3,199.82496687839438,1
0,70,62,12,14.23605710571225,0
1,77,78,4,55.12350027903801,1
1,60,46,5,0.0,0
0,12,86,12,156.70811709561445,1
1,12,7,7,0.0,0
0,39,11,4,0.0,0
0,45,50,1,27.27233779982582,0
0,99,73,6,0.0,0
0,29,80,12,111.71698142355297,1
1,20,44,6,63.675211837687065,1
0,94,64,9,0.0,0
0,16,55,4,87.26539736166266,1
1,3,96,10,205.47838822034686,1
0,42,65,10,53.75478022928899,1
1,40,41,8,14.4727012780362,0
0,62,96,10,87.34546297532394,1
1,87,10,7,0.0,0
1,93,98,5,35.62732219903163,0
1,29,15,9,0.0,0
0,98,28,11,0.0,0
0,63,82,11,54.34692718360091,1
1,7,73,3,162.79097387973334,1
0,93,97,9,14.257871510502705,0
1,14,74,1,166.514884599847,1
0,59,63,7,8.884660332540166,0
1,79,34,7,0.0,0
1,25,0,5,0.0,0
0,27,12,12,0.0,0
0,48,29,11,0.0,0
1,88,4,1,0.0,0
0,23,50,3,59.31844216442771,1
1,66,77,3,64.29846488575234,1
0,45,96,11,114.73061445221191,1
1,12,48,7,79.66400013329998,1
